title,Year,Certificate,genres,overview,Runtime,Rating,No.of.Ratings,id,original_language,poster
Bahubali: The Beginning,2015.0,UA,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",159,8.1,99114,271726.0,te,https://image.tmdb.org/t/p/w500//56DErD8o0rTxKfabWPHfvhbn8A8.jpg
Baahubali 2: The Conclusion,2017.0,UA,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",167,8.2,71458,325561.0,te,https://image.tmdb.org/t/p/w500//txwqjwp5l9ApKqUBvj56oBmTfmO.jpg
1 - Nenokkadine,2014.0,UA,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,170,8.1,42372,134374.0,te,https://image.tmdb.org/t/p/w500//txagTxnwbpSOvSf6JdIIvUPsJHN.jpg
Dhoom:3,2013.0,UA,"Action, Thriller            ","    When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",172,5.4,42112,44977.0,te,https://image.tmdb.org/t/p/w500//rUVTM5EQUQ2I0fcfE46AkvBYWae.jpg
Ra.One,2011.0,U,"Action, Adventure, Sci-Fi            ","    When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",156,4.6,37211,56703.0,te,
Dhoom:2,2006.0,UA,"Action, Thriller            ","    Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.",152,6.5,22983,14194.0,te,https://image.tmdb.org/t/p/w500//3zJLnrP9g9LSMpX5C1wau49gGUv.jpg
Eega,2012.0,UA,"Action, Fantasy            ",    A murdered man is reincarnated as a housefly and seeks to avenge his death.,145,7.7,20636,108063.0,te,https://image.tmdb.org/t/p/w500//5Pjsi0qSa29BJeE656bVuVOm2qC.jpg
Krrish 3,2013.0,U,"Action, Sci-Fi            ","    Krrish and his scientist father have to save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",152,5.2,20026,184315.0,te,https://image.tmdb.org/t/p/w500//5X3VOy9lD44VclKsWTi8gHZGjhL.jpg
Arjun Reddy,2017.0,A,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",182,8.1,19419,521077.0,te,https://image.tmdb.org/t/p/w500//6NokDZ6xpTl5PjLe0PZg6M2GEdh.jpg
Rangasthalam,2018.0,UA,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president.",170,8.4,17559,461126.0,te,https://image.tmdb.org/t/p/w500//yiEzDgBBFC25Zd6z0r7sMngn5vr.jpg
Magadheera,2009.0,A,"Action, Drama, Fantasy            ","    A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever.",166,7.6,17542,345013.0,te,
War,2019.0,UA,"Action, Thriller            ",    An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.,154,6.5,17459,10431.0,te,https://image.tmdb.org/t/p/w500//scFc8RD4sFxB2x0eIOaymphMnYh.jpg
Bharat Ane Nenu,2018.0,UA,"Action, Drama            ","    Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",173,7.7,14945,488015.0,te,
Saaho,2019.0,UA,"Action, Thriller            ","    An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.",170,5.2,14430,454292.0,te,https://image.tmdb.org/t/p/w500//rWXIpR2uPkwb1Hrhjj2FA62FGdu.jpg
Theri,2016.0,U,"Action, Drama            ","    When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces.",157,7.1,12390,399177.0,te,
Dookudu,2011.0,UA,"Action, Comedy            ","    Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle.",170,7.4,12295,101863.0,te,https://image.tmdb.org/t/p/w500//rBC6VzEwdZwQFS7nuzWpXZHfPq7.jpg
Pokiri,2006.0,A,"Action, Thriller            ","    A local goon's killer instincts earn him his girlfriend's disapproval, a corrupt cop's enmity and a wanted don's attention.",164,7.9,12137,23381.0,te,https://image.tmdb.org/t/p/w500//92nwCPbcMzTi8PGB82JU7EFCiaG.jpg
Sarkar,2018.0,UA,"Action, Drama            ","    An NRI businessman learns his vote has been cast by someone else and decides to investigate the matter, eventually finding himself pitted against two corrupt politicians.",163,6.8,12003,624102.0,te,
Athadu,2005.0,U,"Action, Thriller            ","    A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.",172,8.2,11459,125962.0,te,
The Ghazi Attack,2017.0,UA,"Action, Thriller, War            ","    A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",116,7.6,11191,442405.0,te,https://image.tmdb.org/t/p/w500//i7lITQa1v7dZZgLIdE8vZRnPhOC.jpg
Kabali,2016.0,U,"Action, Crime, Drama            ","    Returning from prison, aged gangster Kabali confronts those who had destroyed his life. While doing so, he learns about what had happened to his family when he was gone.",153,6.2,11156,366080.0,te,https://image.tmdb.org/t/p/w500//4Lv06mGw6Lfw3HKHVCj7ssIckvA.jpg
MSG: The Messenger of God,2015.0,U,"Action, Comedy, Drama            ",    Guru Ji is a social reformer who works to help people fight against social evils.,197,5.9,11128,318848.0,te,
Nanban,2012.0,U,"Comedy, Drama            ","    10 years after finishing college, two best friends and their enemy go on a search for their third friend, while finding out some truths along the way.",188,7.4,10973,69537.0,te,https://image.tmdb.org/t/p/w500//dmhPnvYQVtx4xS1dkA9trCpQXvY.jpg
Srimanthudu,2015.0,UA,"Action, Drama            ","    Harsha, a multi-millionaire who has everything, still feels that there is something missing in his life. In an attempt to fill the void, he adopts a village to bring change in the people.",158,7.5,10778,319817.0,te,https://image.tmdb.org/t/p/w500//yLLUrmxORqWvvMOlRFzGbyjSFvG.jpg
Veer - Vivegam,2017.0,UA,"Action, Thriller            ",    An Interpol agent betrayed by his friends sets out to take revenge against the friends who work for a secret agency.,149,5.6,10399,100024.0,te,https://image.tmdb.org/t/p/w500//3c2sYBoD2WekUy2tPu9i3U0HExa.jpg
Billa 2,2012.0,A,"Action, Thriller            ","    Small-time diamond smuggler David befriends Goa-based gangster Abbasi. But when David begins to build inroads with an international gangster, Abbasi is not happy. Soon the two turn into bitter rivals.",129,6.2,10038,116185.0,te,https://image.tmdb.org/t/p/w500//gADzX6C4pGHneBoU148LXFMDyMr.jpg
Manam,,UA,"Comedy, Drama, Fantasy            ","    Through reincarnation, family members are able to cross generations and meddle in each others' lives.",163,8.0,9589,253533.0,te,https://image.tmdb.org/t/p/w500//lE9abet9ezwSUXZf0UV6dk0NT0e.jpg
7 Aum Arivu,2011.0,U,"Action, Sci-Fi, Thriller            ",    A genetic engineering student tries to bring back the skills of a legend of the past and use his skills to save India from a deadly virus attack by China.,160,6.2,9482,86718.0,te,https://image.tmdb.org/t/p/w500//CUFkhKdgM8GhqWkgOetTw0Skkl.jpg
Bigil,2019.0,UA,"Action, Drama, Sport            ",    A former football player struggles to train a women's football team and avenge his father's death.,179,6.8,9337,563309.0,te,https://image.tmdb.org/t/p/w500//bk6x3PHpTC3zpVHedGFfygHxbll.jpg
Business Man,2012.0,A,"Action, Crime            ",    Surya arrives in Mumbai to revive the mafia and ends up making enemies who threaten his life.,133,7.1,9265,366683.0,te,
Geetha Govindam,2018.0,UA,"Drama, Romance            ",    An innocent young lecturer is misunderstood as a pervert and despised by a woman who co-incidentally turns out to be the younger sister of his brother-in-law. Eventually differences subside and love blooms between them.,142,7.7,8846,540468.0,te,https://image.tmdb.org/t/p/w500//2w4YlrPemW2uBIglh102R1w4yaP.jpg
Mahanati,2018.0,U,"Biography, Drama            ","    Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s.",177,8.5,8732,459713.0,te,https://image.tmdb.org/t/p/w500//5hwtlwoLdSpkoeusT0sf8qW5VFB.jpg
Spyder,2017.0,UA,"Action, Thriller            ",    An intelligence officer attempts to save the city from a psychotic serial killer who kills people just to hear their loved ones cry.,155,6.6,8666,337608.0,te,https://image.tmdb.org/t/p/w500//pdeHOB63NJdgDmLQEjMtURxbGOo.jpg
Nannaku Prematho,2016.0,UA,"Action, Drama, Thriller            ",    An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,168,7.6,8589,365187.0,te,https://image.tmdb.org/t/p/w500//t8RGpSw86jKFpxxnjywVBNiuPx7.jpg
Dabangg 3,2019.0,UA,"Action, Comedy            ","    Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.",160,3.3,8542,496339.0,te,https://image.tmdb.org/t/p/w500//ruuZcKbvrHU4lMR7ye59mZLIJkG.jpg
MSG 2 the Messenger,2015.0,,"Comedy, Drama, Fantasy            ","    MSG 2 The Messenger is based on true events of Dera Sacha Sauda in years 2000-2001. Although the main story line is true, action & comedy is added for entertainment. Saint Gurmeet Ram Rahim...                See full summary »",134,6.7,8413,373195.0,te,
Manikarnika: The Queen of Jhansi,2019.0,,"Action, Biography, Drama            ","    Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.",148,6.4,8227,491622.0,te,https://image.tmdb.org/t/p/w500//kbTzlKKnZHZ8RYulknO4xqQOJ24.jpg
Race Gurram,2014.0,UA,"Action, Comedy            ","    Two brothers have two different approaches to life. While one brother follows rules and regulations, the other does things his own way.",163,7.2,8183,262227.0,te,https://image.tmdb.org/t/p/w500//4ojbzpHL0wmlnrmlLQGLds6Hwvu.jpg
Okkadu,2003.0,U,"Action, Romance, Sport            ",    A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.,170,8.0,8118,94965.0,te,https://image.tmdb.org/t/p/w500//oVQunZdpMOq7sJ8qYLLRlHA1ir.jpg
Bommarillu,2006.0,U,"Comedy, Drama, Romance            ",    A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,170,8.2,8111,31626.0,te,https://image.tmdb.org/t/p/w500//6oO7LsFuTYCI6z0tf6mfveUA8ps.jpg
Atharintiki Daaredi,2013.0,U,"Comedy, Drama            ",    The scion of a powerful family is tasked with retrieving an estranged family member.,170,7.2,8081,224061.0,te,https://image.tmdb.org/t/p/w500//htv7AcIhJc94dPmbkhVdZ5tFET7.jpg
Khaleja,2010.0,UA,"Action, Comedy, Fantasy            ","    When a mysterious illness ravages a remote village, the villagers embrace a reluctant taxi driver as their savior.",170,7.5,7893,56986.0,te,https://image.tmdb.org/t/p/w500//yma0a5y4L9mLs7PSxrZ8HuSdIVE.jpg
Yennai Arindhaal,2015.0,UA,"Action, Thriller            ","    Sathyadev, a sincere police officer, tries to stop an organ trafficking racket. But he is unaware that the man performing the illegal trade is the same person who killed his beloved.",168,7.3,7746,300983.0,te,https://image.tmdb.org/t/p/w500//hGQYVXiB16I7pPqQVSGqvgWIMkQ.jpg
Thalaivaa,2013.0,U,"Action, Drama, Thriller            ","    A son steps into his father's shoes, has to win a bloody war before he becomes the leader.",179,6.1,7744,202616.0,te,https://image.tmdb.org/t/p/w500//5h2SfwKTbbp0T21kjrOPU3QMaHn.jpg
Kaala,2018.0,,"Action, Drama            ",    Kaala is about the life of Nellai / Tirunelveli based Tamils who live in large number in Mumbai.,162,6.7,7494,780524.0,te,https://image.tmdb.org/t/p/w500//f3T13GUBc4e5d30ynmsu8C2I2R3.jpg
Bairavaa,2017.0,U,"Action, Thriller            ","    Bairavaa, a gallant debt collector, takes on a violent criminal masquerading as a philanthropist in the education field.",169,5.9,7388,411717.0,te,https://image.tmdb.org/t/p/w500//qHWdlIGu1uZSgP9xSLg0L7yXuEP.jpg
Goodachari,2018.0,UA,"Action, Thriller            ","    A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent.",147,7.8,7120,540189.0,te,https://image.tmdb.org/t/p/w500//uG04EjdV1zrj91ROxP75jwRxxv0.jpg
Puli,2015.0,U,"Action, Adventure, Fantasy            ",    A virtuous soldier tries to save people from an evil queen and a throne-seeking commander.,155,4.4,7058,353501.0,te,https://image.tmdb.org/t/p/w500//onl4KNQ9Bso4sNRb3uM6RkRcVuj.jpg
Pulimurugan,2016.0,U,Action            ,"    When a small village near a forest is under the threat of man eating tigers and a drug mafia, the villagers seek the help of an unstoppable force, a hunter invincible.",161,6.8,6686,353501.0,te,https://image.tmdb.org/t/p/w500//onl4KNQ9Bso4sNRb3uM6RkRcVuj.jpg
Veeram,2014.0,U,Action            ,"    Vinayagam, an honest man, uses violence to settle disputes. He decides to mend his ways for his lover's sake. Hell breaks loose when he learns about a gang of rowdies following his lover's family.",161,6.5,6661,1142313.0,te,https://image.tmdb.org/t/p/w500//vZKIcCTLTmc2jn8sieFj5sIyrjF.jpg
Vedam,2010.0,A,"Action, Drama            ",    A terrorist threat puts five people in jeopardy.,135,8.1,6492,97342.0,te,https://image.tmdb.org/t/p/w500//fwozjObCQSZsGdUw0dJXJSdEocj.jpg
Yevadu,2014.0,A,"Action, Thriller            ","    A young man receives a life-saving face transplant after he is critically injured and his girlfriend murdered in a vicious attack. Unrecognisable to his enemies, he sets out for revenge.",165,5.6,6373,215248.0,te,https://image.tmdb.org/t/p/w500//euSAn9sVeS4Qnaj1ZWDw56gPi9W.jpg
Aravindha Sametha Veera Raghava,2018.0,UA,"Action, Drama            ",    A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,162,7.7,6371,534530.0,te,https://image.tmdb.org/t/p/w500//if8A96hBdeMfeduQqtuccvi6gYF.jpg
Billa,2007.0,UA,"Action, Thriller            ","    A cop chases international gangster Billa and happens to be the only one to see him die. He places Velu, Billa's lookalike, inside the gang to get information. But Velu is framed for killing the cop.",130,7.2,6144,116185.0,te,https://image.tmdb.org/t/p/w500//gADzX6C4pGHneBoU148LXFMDyMr.jpg
Jersey,2019.0,U,"Drama, Sport            ",    A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,157,8.6,6039,562974.0,te,https://image.tmdb.org/t/p/w500//nJ3UTIMQ846yDjeI83LMIXmIjtK.jpg
Sye Raa Narasimha Reddy,2019.0,UA,"Action, Adventure, Drama            ","    A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",167,7.5,5848,543099.0,te,https://image.tmdb.org/t/p/w500//g182mkpygZzMeOp56Aba4IIPnsh.jpg
Ala Vaikunthapurramuloo,2020.0,UA,"Action, Drama            ",    A jealous clerk secretly switches his newborn son with his millionaire friend's temporarily stillborn son.,163,7.2,5732,658915.0,te,https://image.tmdb.org/t/p/w500//wvJ3x6o654qHZBQdvqES2yqaABk.jpg
Janatha Garage,2016.0,UA,"Action, Drama            ","    An environmental activist comes to Hyderabad to attend a seminar, where an unexpected encounter with a man who runs an organization for the oppressed, changes his purpose in life.",162,7.3,5562,405924.0,te,https://image.tmdb.org/t/p/w500//qIph1OBGCorT1GWUaZxx7DL79hh.jpg
Gabbar Singh,2012.0,UA,"Action, Comedy            ","    Venkatarathnam Naidu (Pawan Kalyan), son of Suhasini and step son of Nagineedu calls himself as Gabbar Singh after liking the character from Sholay. He turns as a cop and gets posted to his...                See full summary »",153,7.1,5550,111836.0,te,https://image.tmdb.org/t/p/w500//tFDhzLPhWnjDNda7YHcbeB4gcGi.jpg
Temper,2015.0,UA,"Action, Drama            ","    Daya, a corrupt police officer, finds his life changing when he takes on a case of gang rape.",147,7.4,5524,1340597.0,te,
Game Over,,UA,"Drama, Thriller            ",    A nyctophobic woman has to fight her inner demons to stay alive in the game called life.,102,7.1,5418,12279.0,te,https://image.tmdb.org/t/p/w500//buA8dN4zLNr0dYBeKfHfMnEfdLE.jpg
Singam 2,2013.0,U,"Action, Thriller            ",    Tough cop Durai Singam performs an undercover operation and identifies some nefarious activities in the seas around the coastal town.,166,6.3,5378,191735.0,te,https://image.tmdb.org/t/p/w500//6ENAxfZz4IY2NPu89R1SGObjiWF.jpg
Dhruva,2016.0,UA,"Action, Thriller            ","    A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",165,7.9,5346,1109487.0,te,https://image.tmdb.org/t/p/w500//rd5T06jPOnglmDhKfGSrbDUZh6E.jpg
Jalsa,2008.0,A,"Action, Comedy            ",    A carefree young man's past compels him to confront a criminal boss to acquire land rights.,161,7.3,5294,73578.0,te,https://image.tmdb.org/t/p/w500//sAc0AX16f0jBlVfU85XbaU9ZKI2.jpg
Maharshi,2019.0,UA,"Action, Drama            ","    Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers.",176,7.3,5197,541487.0,te,https://image.tmdb.org/t/p/w500//maoChdAwkJLvOy4yyGgYgcCJePi.jpg
Pelli Choopulu,2016.0,UA,"Comedy, Drama, Romance            ","    This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and ...                See full summary »",125,8.2,5167,393841.0,te,https://image.tmdb.org/t/p/w500//um5GCXgYAVwP46yzt9vD83MAXKd.jpg
Arya 2,2009.0,UA,"Action, Comedy            ",    A psychotic willing to sacrifice anything for friendship transforms himself for the sake of his best friend who's not really fond of him.,155,7.4,5164,34763.0,te,https://image.tmdb.org/t/p/w500//kjbbx8kV6pNhNXX9aRsVDwyEJbm.jpg
Chekka Chivantha Vaanam,2018.0,UA,"Action, Crime, Drama            ",    A bloody power struggle erupts between three brothers who are vying to take over the family business following the death of their father.,146,7.3,5127,504184.0,te,https://image.tmdb.org/t/p/w500//kzwMj4FZdeH37I9u9FIbmkmI2Jx.jpg
Naa Peru Surya Na Illu India,2018.0,UA,"Action, Drama            ","    A short tempered soldier aspiring to serve at the borders is tasked with getting clearance signature from his estranged father, a professor, who in turn challenges him to give up anger.",163,6.8,5102,500494.0,te,https://image.tmdb.org/t/p/w500//fHQAy0hHANT8BIRrLAQCfmLwIN4.jpg
Ki & Ka,2016.0,UA,"Comedy, Romance            ","    Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.",126,5.8,5083,413646.0,te,https://image.tmdb.org/t/p/w500//e1tV7gYSF5iw8NPR78sUHNb3YLU.jpg
Seethamma Vakitlo Sirimalle Chettu,2013.0,U,"Comedy, Drama, Family            ","    An exuberant and evocative family drama, that primarily revolves around the close bond between two brothers with radically different personalities, highlighting the complex process of choosing an ideal life partner for each of them.",159,7.5,5075,193197.0,te,https://image.tmdb.org/t/p/w500//xcZeEPOUsrcvV2UbDZQEpDnwxGi.jpg
Singam 3,2017.0,U,"Action, Thriller            ",    Uncompromising police chief Durai Singam battles against a criminal operation dealing in deadly toxic waste.,155,6.3,5068,376440.0,te,https://image.tmdb.org/t/p/w500//qnCN8Wm4kRDgjxyV7RhVqXVEhzB.jpg
Agent Sai Srinivasa Athreya,2019.0,UA,"Action, Comedy, Crime            ",    Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,148,8.5,4985,610482.0,te,https://image.tmdb.org/t/p/w500//jMVfhhWfHLawVp3kd55KBy3VBsW.jpg
Jai Lava Kusa,2017.0,UA,"Action, Drama            ","    Sidelined at a very young age due to stammering, the eldest of identical triplets develops hatred for his younger brothers and creates havoc in their lives as they all reunite as adults.",150,7.0,4872,101736.0,te,https://image.tmdb.org/t/p/w500//uZ3GijLSpQDt8oTg9gkJILnDcPD.jpg
Arya,2004.0,U,"Action, Drama, Romance            ","    Arya (Allu Arjun) is a happy-go-lucky, college-going youth with an attitude. He falls in love with Geeta (Anuradha Mehta) at first sight. He proposes to her in front of her boyfriend Siva. ...                See full summary »",151,7.8,4818,20344.0,te,https://image.tmdb.org/t/p/w500//jIkUYRzEMOBdKMo5x9bT6WPtKfi.jpg
Maattrraan,2012.0,U,"Action, Sci-Fi, Thriller            ","    Conjoined twins Vimalan and Akhilan involve themselves in a series of deaths involving their father's company. However, the truths that they initially uncover lead to a bigger conspiracy, one that spans across the globe.",165,5.9,4741,139662.0,te,https://image.tmdb.org/t/p/w500//qTi5Pby7UhOzU2uVh8tvJdC5srI.jpg
Kochadaiiyaan,2014.0,U,"Animation, Action            ",    A saga of revenge undertaken by a son for his father's name and his kingdom.,124,6.3,4694,256968.0,te,https://image.tmdb.org/t/p/w500//imvahgJM2w1LQnSnZEgaycRbgx.jpg
Thaanaa Serndha Koottam,2018.0,UA,"Action, Comedy, Crime            ","    Angered by the corruption that stopped him from becoming a CBI officer, a young man forms a gang who pose as CBI officers and raids the corrupt.",138,6.8,4658,433121.0,te,https://image.tmdb.org/t/p/w500//aBMQTZgjUH5JsfMVApIFNBUXjMt.jpg
OK Kanmani,2015.0,UA,Romance            ,"    Two young lovers are compatible in every way - they even agree that marriage is futile. However, their emotions are not so easily managed, especially when they witness the unconditional love of the older couple with whom they live.",139,7.4,4632,329135.0,te,https://image.tmdb.org/t/p/w500//fkgl9pkaUO6P13NQtP3hDiR9RA4.jpg
Dear Comrade,2019.0,UA,"Action, Drama, Romance            ",    A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.,169,7.3,4575,563604.0,te,https://image.tmdb.org/t/p/w500//351RT7glTIlK8AIVF6YxTNekJfO.jpg
Happy Days,2007.0,U,Drama            ,"    The movie revolves around eight youngsters, who become good friends in their freshman years when they join the college for their Bachelors in Engineering (B.E.). The life of these young ...                See full summary »",153,7.9,4416,19100.0,te,https://image.tmdb.org/t/p/w500//507mUw7mtYpmjwJncOggw9gBZcG.jpg
Sarileru Neekevvaru,2020.0,UA,"Action, Comedy, Drama            ",    A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,169,6.1,4367,607313.0,te,https://image.tmdb.org/t/p/w500//6bJNy4oHbRawb6j3FN2JAuKw7uh.jpg
Julayi,2012.0,UA,"Action, Comedy            ",    A happy-go-lucky man with wit and an instinct to kill teams up with a timid cop after being pursued by the criminal whose plans to rob a bank he foiled.,160,7.2,4329,125835.0,te,https://image.tmdb.org/t/p/w500//tIUBifudyRCKhF1utslaDoDRteW.jpg
Kshanam,2016.0,,Thriller            ,"    Rishi, a non-resident Indian, returns to India to help his ex-lover find her kidnapped daughter.",110,8.3,4231,1296401.0,te,https://image.tmdb.org/t/p/w500//lHtdaZpWQPMzyEZOwzeCRVmwZKI.jpg
Oopiri,2016.0,U,"Comedy, Drama            ","    Impressed by his carefree attitude, Vikram, a quadriplegic multi-billionaire, hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",158,8.0,3927,369925.0,te,https://image.tmdb.org/t/p/w500//5L37SxwpBgf3ABqTvQA9AH0kaCt.jpg
Baadshah,2013.0,UA,"Action, Comedy            ","    Fast-paced and fiery, this action-oriented revenge thriller follows the transformation of a young man, from an IPS aspirant into fearless Baadshah, an avenging angel wreaking vengeance upon the mafia kingpin, Saadu Bhai.",164,6.4,3898,41902.0,te,https://image.tmdb.org/t/p/w500//fXGeUIbEfgO3cfHuYuPkXnKVt43.jpg
3,,U,"Drama, Mystery, Romance            ","    Ram and Janani's three stages of love - their attraction for each other during their school days, their love at college days, and the relationship when they mature, are explored in this romantic tale.",145,7.2,3879,829557.0,te,https://image.tmdb.org/t/p/w500//7qU0SOVcQ8BTJLodcAlulUAG16C.jpg
Sarrainodu,2016.0,UA,"Action, Drama            ",    An intense battle breaks out between an evil son of a politician and an ex army man who can't tolerate injustice.,159,6.4,3876,374954.0,te,https://image.tmdb.org/t/p/w500//olXLUc36dmYFdZrU7UkC3DeADfv.jpg
Kick,2009.0,UA,"Action, Comedy            ",    An adrenaline junkie's quest for kicks leads him to a life of crime.,155,7.8,3874,280690.0,te,https://image.tmdb.org/t/p/w500//muRGQIGFcHTyHimE2ru6RSjD8D6.jpg
Leader,2010.0,UA,Drama            ,"    A well educated idealist, who is a son of Political leader in power wants to correct the rigged political system of favors and corruption. However, this soon becomes a game of power. How ...                See full summary »",167,8.0,3868,356600.0,te,https://image.tmdb.org/t/p/w500//ngyOQT5vGYskq5U1kSLdQKE7QL1.jpg
Anjaan,2014.0,U,"Action, Musical, Thriller            ","    Raju Bhai and Chandru head a thriving gang dismantling everyone coming their way. However when their success reaches the dreaded Imran, their lives take a turn.",166,5.0,3818,876515.0,te,https://image.tmdb.org/t/p/w500//l2UKkgqhiag5pcGP6pkv2i6WmgO.jpg
Khushi,2001.0,U,"Drama, Romance            ","    While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.",169,7.9,3783,81070.0,te,https://image.tmdb.org/t/p/w500//jw8CV9vj095jk4sE4bOxt3cv0Gz.jpg
Maya Bazaar,1957.0,U,"Comedy, Drama, Family            ","    Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",192,9.2,3733,1156124.0,te,https://image.tmdb.org/t/p/w500//3gBHjjSb1JSOmgHCpUsXNCfI5xM.jpg
Rakhta Charitra,2010.0,A,"Action, Biography, Crime            ",    A killer bandit decides to become a politician in order to avenge deaths in his family.,125,7.6,3718,55808.0,te,https://image.tmdb.org/t/p/w500//lx36zIYVOHfLVklyFlPYMCmlY7b.jpg
Mirchi,2013.0,A,"Action, Drama            ","    A man returns to his country in order, ostensibly, to reform his girlfriend's violent family, but he seems to have a strange connection and a rather dark past.",155,7.2,3708,176590.0,te,https://image.tmdb.org/t/p/w500//rNj5OmO7KXkZsmsZO7XI6CX0aRs.jpg
Chatrapathi,2005.0,UA,"Action, Drama            ",    Displaced Sri Lankans in a Vizag port are ruled by a local rowdy. This is the story of Chatrapati Sivaji who overcomes this oppression and how he reunites with his long lost mother and brother.,158,7.6,3700,79210.0,te,https://image.tmdb.org/t/p/w500//sW7aw6fLcQC4rVYLNcDuyXjbM0S.jpg
C/o Kancharapalem,2018.0,UA,Drama            ,    Four unconventional love stories set in the town and including the people of Kancherapalem.,152,9.0,3699,544795.0,te,https://image.tmdb.org/t/p/w500//8bgyfPih4bORxtnFCwinqVElkYg.jpg
Sachein,2005.0,UA,"Comedy, Drama, Romance            ","    A love triangle on a college campus between two young students who try to deny their feelings for each other. The entry of a lecturer who has a soft corner for the boy, changes things around.",145,6.9,3643,63641.0,te,https://image.tmdb.org/t/p/w500//9GlCUf5Kn3QuN5AGuQBuPUvANrk.jpg
Murari,2001.0,,"Drama, Romance, Thriller            ",    A family is under a curse due to an old sin; due to which a male is bound to die every 48 years.,180,7.8,3630,85813.0,te,https://image.tmdb.org/t/p/w500//zi0KFUm3Rn34WIxjHlOWni023Zp.jpg
Vikramarkudu,2006.0,A,Action            ,"    Vikram Rathod, a policeman, joins with a small time thief Satthi Babu who looks identical to him to avenge his own destruction.",140,7.7,3571,40909.0,te,https://image.tmdb.org/t/p/w500//3it43tOnJsupv9zltIrZKr3iuPS.jpg
Kuruthipunal,1995.0,A,"Action, Drama, Thriller            ","    Suave and scintillating, this fast-paced action thriller follows the adventures and investigations of a group of honest police officers, who go undercover to bring down a terror network.",143,8.5,3513,1202507.0,te,https://image.tmdb.org/t/p/w500//8Zriwn63YtV4eBITNAMWX5dFSzk.jpg
Brindaavanam,2010.0,UA,"Action, Comedy, Drama            ",    Krish (NTR) is the son of a billionaire businessman (mukesh Rishi). He has a girl friend Indu (samantha). Her friend Bhoomi (kajal) wants to pursue her higher studies and lands in trouble ...                See full summary »,169,7.1,3511,413042.0,te,https://image.tmdb.org/t/p/w500//rHeHwMz1YeNHPvRUNsuRnnVKVFd.jpg
